P_CODE,VDC_NAME,DISTRICT,REGION,Hazard (Intensity),Exposure,Housing,Poverty,Vulnerability,Severity,Severity Normalized,Severity category
C-NAR-31-002,Ambhanjyang,Makwanpur,Central,1.28,0.07,4.99,3.64,4.32,0.73,1.5008,Medium-High
C-JAN-21-012,Dadhuwa,Ramechhap,Central,1.22,0.05,7.16,6.06,6.61,0.73,1.5006,Medium-High
C-BAG-26-016,Sirutar,Bhaktapur,Central,1.74,0.05,8.23,0.89,4.56,0.73,1.4988,Medium-High
C-BAG-27-013,Chunikhel,Kathmandu,Central,1.60,0.05,8.86,1.82,5.34,0.73,1.4971,Medium-High
C-BAG-25-007,Bungamati,Lalitpur,Central,1.37,0.06,8.40,0.82,4.61,0.73,1.4950,Medium-High
C-JAN-19-073,Netraganj,Sarlahi,Central,0.58,0.10,4.21,8.35,6.28,0.73,1.4879,Medium-High
C-BAG-28-055,Suryamati,Nuwakot,Central,1.71,0.04,5.91,5.85,5.88,0.72,1.4819,Medium-High
W-GAN-36-021,Finam,Gorkha,Western,2.03,0.03,6.44,5.21,5.83,0.72,1.4798,Medium-High
C-NAR-35-028,Padampur,Chitawan,Central,0.62,0.15,5.38,2.53,3.96,0.72,1.4797,Medium-High
W-GAN-38-018,Dharampani,Tanahu,Western,2.22,0.03,6.43,4.04,5.24,0.72,1.4786,Medium-High
C-BAG-28-061,Tupche,Nuwakot,Central,1.17,0.05,5.91,5.85,5.88,0.72,1.4778,Medium-High
C-BAG-27-051,Sheshnarayan,Kathmandu,Central,1.76,0.04,8.86,1.82,5.34,0.72,1.4735,Medium-High
C-NAR-31-022,IpaPanchakanya,Makwanpur,Central,3.34,0.03,4.99,3.64,4.32,0.72,1.4718,Medium-High
W-GAN-36-045,Namjung,Gorkha,Western,2.01,0.03,6.44,5.21,5.83,0.72,1.4694,Medium-High
C-BAG-27-048,Satikhel,Kathmandu,Central,1.58,0.04,8.86,1.82,5.34,0.72,1.4684,Medium-High
C-BAG-23-034,Jyamire,Sindhupalchok,Central,0.96,0.06,6.85,6.57,6.71,0.72,1.4682,Medium-High
C-NAR-31-019,Hatiya,Makwanpur,Central,0.63,0.13,4.99,3.64,4.32,0.71,1.4660,Medium-High
C-BAG-27-004,Balambu,Kathmandu,Central,0.91,0.08,8.86,1.82,5.34,0.71,1.4639,Medium-High
C-BAG-23-048,Melamchi,Sindhupalchok,Central,1.01,0.05,6.85,6.57,6.71,0.71,1.4635,Medium-High
C-BAG-24-002,Baldthali,Kavrepalanchok,Central,2.69,0.03,6.46,3.31,4.88,0.71,1.4632,Medium-High
C-BAG-30-036,Phulkhark,Dhading,Central,1.43,0.04,6.82,5.15,5.99,0.71,1.4610,Medium-High
C-BAG-26-013,Nagarkot,Bhaktapur,Central,1.68,0.05,8.23,0.89,4.56,0.71,1.4578,Medium-High
C-JAN-19-028,Dhurkauli,Sarlahi,Central,0.58,0.10,4.21,8.35,6.28,0.71,1.4535,Medium-High
C-BAG-23-010,Bhotasipa,Sindhupalchok,Central,1.12,0.05,6.85,6.57,6.71,0.71,1.4530,Medium-High
C-BAG-25-013,Devichour,Lalitpur,Central,2.60,0.03,8.40,0.82,4.61,0.71,1.4514,Medium-High
C-JAN-19-018,Bhaktipur,Sarlahi,Central,0.37,0.15,4.21,8.35,6.28,0.71,1.4483,Medium-High
C-BAG-25-004,Bhattedanda,Lalitpur,Central,3.62,0.02,8.40,0.82,4.61,0.71,1.4476,Medium-High
C-BAG-23-063,SipalKavre,Sindhupalchok,Central,1.34,0.04,6.85,6.57,6.71,0.71,1.4468,Medium-High
C-BAG-24-075,Salmechakala,Kavrepalanchok,Central,4.03,0.02,6.46,3.31,4.88,0.70,1.4417,Medium-High
C-BAG-23-016,Dubachour,Sindhupalchok,Central,0.88,0.06,6.85,6.57,6.71,0.70,1.4410,Medium-High
C-BAG-23-012,BhoteNamlang,Sindhupalchok,Central,1.06,0.05,6.85,6.57,6.71,0.70,1.4401,Medium-High
C-BAG-30-006,Budhathum,Dhading,Central,1.51,0.04,6.82,5.15,5.99,0.70,1.4398,Medium-High
C-BAG-25-036,Sankhu,Lalitpur,Central,3.20,0.02,8.40,0.82,4.61,0.70,1.4379,Medium-High
C-NAR-31-034,PadamPokhari,Makwanpur,Central,0.46,0.18,4.99,3.64,4.32,0.70,1.4378,Medium-High
C-BAG-24-079,SaradaBatase,Kavrepalanchok,Central,2.90,0.02,6.46,3.31,4.88,0.70,1.4373,Medium-High
W-GAN-36-001,Aanppipal,Gorkha,Western,1.42,0.04,6.44,5.21,5.83,0.70,1.4346,Medium-High
C-BAG-28-041,Narjamandap,Nuwakot,Central,1.06,0.05,5.91,5.85,5.88,0.70,1.4345,Medium-High
C-BAG-28-029,Kalyanpur,Nuwakot,Central,0.99,0.06,5.91,5.85,5.88,0.70,1.4337,Medium-High
C-BAG-25-024,Jharuwarasi,Lalitpur,Central,1.66,0.04,8.40,0.82,4.61,0.70,1.4258,Medium-High
C-BAG-25-003,Bhardev,Lalitpur,Central,3.20,0.02,8.40,0.82,4.61,0.69,1.4233,Medium-High
C-JAN-19-050,Karmaiya,Sarlahi,Central,0.57,0.09,4.21,8.35,6.28,0.69,1.4201,Medium-High
C-BAG-27-005,Baluwa,Kathmandu,Central,1.10,0.06,8.86,1.82,5.34,0.69,1.4180,Medium-High
C-BAG-26-009,Gundu,Bhaktapur,Central,1.24,0.06,8.23,0.89,4.56,0.69,1.4178,Medium-High
C-BAG-28-001,BagesworiChokade,Nuwakot,Central,1.10,0.05,5.91,5.85,5.88,0.69,1.4177,Medium-High
C-NAR-35-030,Patihani,Chitawan,Central,0.70,0.12,5.38,2.53,3.96,0.69,1.4154,Medium-High
C-BAG-27-058,TokhaChandeswori,Kathmandu,Central,1.51,0.04,8.86,1.82,5.34,0.69,1.4133,Medium-High
C-JAN-18-027,Gauribas,Mahottari,Central,0.78,0.06,4.33,8.62,6.48,0.69,1.4131,Medium-High
C-BAG-24-064,NayagaunDeupur,Kavrepalanchok,Central,1.47,0.05,6.46,3.31,4.88,0.69,1.4111,Medium-High
C-BAG-27-017,Dharmasthali,Kathmandu,Central,0.91,0.07,8.86,1.82,5.34,0.69,1.4105,Medium-High
W-GAN-36-049,Pandrung,Gorkha,Western,2.16,0.03,6.44,5.21,5.83,0.69,1.4101,Medium-High
C-BAG-27-018,Futung,Kathmandu,Central,1.24,0.05,8.86,1.82,5.34,0.69,1.4096,Medium-High
C-BAG-23-074,Thokarpa,Sindhupalchok,Central,1.08,0.04,6.85,6.57,6.71,0.69,1.4092,Medium-High
