date,temperature_2m_mean
2020-11-04 18:15:00+00:00,15.732751
2020-11-05 18:15:00+00:00,15.0285845
2020-11-06 18:15:00+00:00,14.920251
2020-11-07 18:15:00+00:00,15.864001
2020-11-08 18:15:00+00:00,16.441084
2020-11-09 18:15:00+00:00,17.093168
2020-11-10 18:15:00+00:00,17.114
2020-11-11 18:15:00+00:00,16.795252
2020-11-12 18:15:00+00:00,16.761919
2020-11-13 18:15:00+00:00,16.343166
2020-11-14 18:15:00+00:00,16.472336
2020-11-15 18:15:00+00:00,14.257752
2020-11-16 18:15:00+00:00,14.549417
2020-11-17 18:15:00+00:00,14.541083
2020-11-18 18:15:00+00:00,14.145251
2020-11-19 18:15:00+00:00,14.409833
2020-11-20 18:15:00+00:00,12.561916
2020-11-21 18:15:00+00:00,11.832748
2020-11-22 18:15:00+00:00,12.259833
2020-11-23 18:15:00+00:00,12.603583
2020-11-24 18:15:00+00:00,13.697333
2020-11-25 18:15:00+00:00,13.793168
2020-11-26 18:15:00+00:00,13.903583
2020-11-27 18:15:00+00:00,13.99525
2020-11-28 18:15:00+00:00,14.605668
2020-11-29 18:15:00+00:00,14.409835
2020-11-30 18:15:00+00:00,13.978584
2020-12-01 18:15:00+00:00,13.97025
2020-12-02 18:15:00+00:00,12.876502
2020-12-03 18:15:00+00:00,12.53275
2020-12-04 18:15:00+00:00,12.028584
2020-12-05 18:15:00+00:00,11.866084
2020-12-06 18:15:00+00:00,12.553584
2020-12-07 18:15:00+00:00,13.7577505
2020-12-08 18:15:00+00:00,14.118167
2020-12-09 18:15:00+00:00,13.938999
2020-12-10 18:15:00+00:00,13.128583
2020-12-11 18:15:00+00:00,14.345249
2020-12-12 18:15:00+00:00,13.047333
2020-12-13 18:15:00+00:00,11.834835
2020-12-14 18:15:00+00:00,11.795251
2020-12-15 18:15:00+00:00,11.605667
2020-12-16 18:15:00+00:00,10.73275
2020-12-17 18:15:00+00:00,10.207751
2020-12-18 18:15:00+00:00,10.255666
2020-12-19 18:15:00+00:00,10.653583
2020-12-20 18:15:00+00:00,11.880668
2020-12-21 18:15:00+00:00,11.85775
2020-12-22 18:15:00+00:00,11.534835
2020-12-23 18:15:00+00:00,11.493165
2020-12-24 18:15:00+00:00,11.328583
2020-12-25 18:15:00+00:00,11.04525
2020-12-26 18:15:00+00:00,10.749415
2020-12-27 18:15:00+00:00,10.661918
2020-12-28 18:15:00+00:00,10.874416
2020-12-29 18:15:00+00:00,9.986917
2020-12-30 18:15:00+00:00,11.389
2020-12-31 18:15:00+00:00,11.293167
2021-01-01 18:15:00+00:00,12.091083
2021-01-02 18:15:00+00:00,14.041084
